fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,color
0.075,0.49,0.2,0.026000000000000002,0.332,0.08,0.14,0.9968,0.0321,0.9,0.105,6,Red
0.081,0.66,0.22,0.022000000000000002,0.069,0.09,0.23,0.9968,0.033,1.2,0.10300000000000001,5,Red
0.068,0.67,0.02,0.018000000000000002,0.05,0.05,0.11,0.9962,0.0348,0.52,0.095,5,Red
0.046,0.52,0.15,0.021,0.054,0.08,0.65,0.9934,0.039,0.56,0.131,4,Red
0.077,0.935,0.43,0.022000000000000002,0.114,0.22,1.14,0.997,0.0325,0.73,0.092,5,Red
0.087,0.29,0.52,0.016,0.113,0.12,0.37,0.9969,0.0325,0.58,0.095,5,Red
0.064,0.4,0.23,0.016,0.066,0.05,0.12,0.9958,0.0334,0.56,0.092,5,Red
0.055999999999999994,0.31,0.37,0.013999999999999999,0.074,0.12,0.96,0.9954,0.0332,0.58,0.092,5,Red
0.08800000000000001,0.66,0.26,0.017,0.074,0.04,0.23,0.9971,0.0315,0.74,0.092,5,Red
0.066,0.52,0.04,0.022000000000000002,0.069,0.08,0.15,0.9956,0.034,0.63,0.094,6,Red
0.066,0.5,0.04,0.021,0.068,0.06,0.14,0.9955,0.0339,0.64,0.094,6,Red
0.086,0.38,0.36,0.03,0.081,0.3,1.19,0.997,0.032,0.56,0.094,5,Red
0.076,0.51,0.15,0.027999999999999997,0.11,0.33,0.73,0.9955,0.0317,0.63,0.102,6,Red
0.077,0.62,0.04,0.038,0.084,0.25,0.45,0.9978,0.0334,0.53,0.095,5,Red
0.102,0.42,0.57,0.034,0.07,0.04,0.1,0.9971,0.0304,0.63,0.096,5,Red
0.075,0.63,0.12,0.051,0.111,0.5,1.1,0.9983,0.0326,0.77,0.094,5,Red
0.078,0.59,0.18,0.023,0.076,0.17,0.54,0.9975,0.034300000000000004,0.59,0.1,5,Red
0.073,0.39,0.31,0.024,0.074,0.09,0.46,0.9962,0.0341,0.54,0.094,6,Red
0.08800000000000001,0.4,0.4,0.022000000000000002,0.079,0.19,0.52,0.998,0.0344,0.64,0.092,5,Red
0.077,0.69,0.49,0.018000000000000002,0.115,0.2,1.12,0.9968,0.0321,0.71,0.09300000000000001,5,Red
0.075,0.52,0.16,0.019,0.085,0.12,0.35,0.9968,0.0338,0.62,0.095,7,Red
0.07,0.735,0.05,0.02,0.081,0.13,0.54,0.9966,0.0339,0.57,0.098,5,Red
0.07200000000000001,0.725,0.05,0.04650000000000001,0.086,0.04,0.11,0.9962,0.0341,0.39,0.109,5,Red
0.07200000000000001,0.725,0.05,0.04650000000000001,0.086,0.04,0.11,0.9962,0.0341,0.39,0.109,5,Red
0.075,0.52,0.11,0.015,0.079,0.11,0.39,0.9968,0.0342,0.58,0.096,5,Red
0.066,0.705,0.07,0.016,0.076,0.06,0.15,0.9962,0.0344,0.58,0.107,5,Red
0.09300000000000001,0.32,0.57,0.02,0.074,0.27,0.65,0.9969,0.032799999999999996,0.79,0.107,5,Red
0.08,0.705,0.05,0.019,0.074,0.08,0.19,0.9962,0.0334,0.95,0.105,6,Red
0.077,0.63,0.08,0.019,0.076,0.15,0.27,0.9967,0.0332,0.54,0.095,6,Red
0.077,0.67,0.23,0.021,0.088,0.17,0.96,0.9962,0.0332,0.48,0.095,5,Red
0.077,0.69,0.22,0.019,0.084,0.18,0.94,0.9961,0.0331,0.48,0.095,5,Red
0.083,0.675,0.26,0.021,0.084,0.11,0.43,0.9976,0.0331,0.53,0.092,4,Red
0.09699999999999999,0.32,0.54,0.025,0.094,0.28,0.83,0.9984,0.032799999999999996,0.82,0.096,5,Red
0.08800000000000001,0.41,0.64,0.022000000000000002,0.093,0.09,0.42,0.9986,0.0354,0.66,0.105,5,Red
0.08800000000000001,0.41,0.64,0.022000000000000002,0.093,0.09,0.42,0.9986,0.0354,0.66,0.105,5,Red
0.068,0.785,0,0.024,0.104,0.14,0.3,0.9966,0.0352,0.55,0.107,6,Red
0.067,0.75,0.12,0.02,0.086,0.12,0.8,0.9958,0.0338,0.52,0.10099999999999999,5,Red
0.083,0.625,0.2,0.015,0.08,0.27,1.19,0.9972,0.0316,1.12,0.091,4,Red
0.062,0.45,0.2,0.016,0.069,0.03,0.15,0.9958,0.0341,0.56,0.092,5,Red
0.078,0.43,0.7,0.019,0.464,0.22,0.67,0.9974,0.0313,1.28,0.094,5,Red
0.07400000000000001,0.5,0.47,0.02,0.086,0.21,0.73,0.997,0.0336,0.57,0.091,5,Red
0.073,0.67,0.26,0.018000000000000002,0.401,0.16,0.51,0.9969,0.0316,1.14,0.094,5,Red
0.063,0.3,0.48,0.018000000000000002,0.069,0.18,0.61,0.9959,0.0344,0.78,0.10300000000000001,6,Red
0.069,0.55,0.15,0.022000000000000002,0.076,0.19,0.4,0.9961,0.0341,0.59,0.10099999999999999,5,Red
0.086,0.49,0.28,0.019,0.11,0.2,1.36,0.9972,0.029300000000000003,1.95,0.099,6,Red
0.077,0.49,0.26,0.019,0.062,0.09,0.31,0.9966,0.0339,0.64,0.096,5,Red
0.09300000000000001,0.39,0.44,0.021,0.107,0.34,1.25,0.9978,0.031400000000000004,1.22,0.095,5,Red
0.07,0.62,0.08,0.018000000000000002,0.076,0.08,0.24,0.9978,0.0348,0.53,0.09,5,Red
0.079,0.52,0.26,0.019,0.079,0.42,1.4,0.9964,0.0323,0.54,0.095,5,Red
0.086,0.49,0.28,0.019,0.11,0.2,1.36,0.9972,0.029300000000000003,1.95,0.099,6,Red
0.086,0.49,0.29,0.02,0.11,0.19,1.33,0.9972,0.029300000000000003,1.98,0.098,5,Red
0.077,0.49,0.26,0.019,0.062,0.09,0.31,0.9966,0.0339,0.64,0.096,5,Red
0.05,1.02,0.04,0.013999999999999999,0.045,0.41,0.85,0.9938,0.0375,0.48,0.105,4,Red
0.047,0.6,0.17,0.023,0.058,0.17,1.06,0.9932,0.0385,0.6,0.129,6,Red
0.068,0.775,0,0.03,0.102,0.08,0.23,0.9965,0.0345,0.56,0.107,5,Red
0.07,0.5,0.25,0.02,0.07,0.03,0.22,0.9963,0.0325,0.63,0.092,5,Red
0.076,0.9,0.06,0.025,0.079,0.05,0.1,0.9967,0.0339,0.56,0.098,5,Red
0.081,0.545,0.18,0.019,0.08,0.13,0.35,0.9972,0.033,0.59,0.09,6,Red
0.083,0.61,0.3,0.021,0.084,0.11,0.5,0.9972,0.034,0.61,0.102,6,Red
0.078,0.5,0.3,0.019,0.075,0.08,0.22,0.9959,0.0331,0.56,0.10400000000000001,6,Red
0.081,0.545,0.18,0.019,0.08,0.13,0.35,0.9972,0.033,0.59,0.09,6,Red
0.081,0.575,0.22,0.021,0.077,0.12,0.65,0.9967,0.0329,0.51,0.092,5,Red
0.07200000000000001,0.49,0.24,0.022000000000000002,0.07,0.05,0.36,0.996,0.0333,0.48,0.094,5,Red
0.081,0.575,0.22,0.021,0.077,0.12,0.65,0.9967,0.0329,0.51,0.092,5,Red
0.078,0.41,0.68,0.017,0.467,0.18,0.69,0.9973,0.0308,1.31,0.09300000000000001,5,Red
0.062,0.63,0.31,0.017,0.088,0.15,0.64,0.9969,0.0346,0.79,0.09300000000000001,5,Red
0.08,0.33,0.53,0.025,0.091,0.18,0.8,0.9976,0.0337,0.8,0.096,6,Red
0.081,0.785,0.52,0.02,0.122,0.37,1.53,0.9969,0.0321,0.69,0.09300000000000001,5,Red
0.078,0.56,0.19,0.018000000000000002,0.104,0.12,0.47,0.9964,0.0319,0.93,0.095,5,Red
0.084,0.62,0.09,0.022000000000000002,0.084,0.11,1.08,0.9964,0.0315,0.66,0.098,5,Red
0.084,0.6,0.1,0.022000000000000002,0.085,0.14,1.11,0.9964,0.0315,0.66,0.098,5,Red
0.10099999999999999,0.31,0.44,0.023,0.08,0.22,0.46,0.9988,0.0332,0.67,0.09699999999999999,6,Red
0.078,0.56,0.19,0.018000000000000002,0.104,0.12,0.47,0.9964,0.0319,0.93,0.095,5,Red
0.094,0.4,0.31,0.022000000000000002,0.09,0.13,0.62,0.9966,0.030699999999999998,0.63,0.105,6,Red
0.083,0.54,0.28,0.019,0.077,0.11,0.4,0.9978,0.0339,0.61,0.1,6,Red
0.078,0.56,0.12,0.02,0.082,0.07,0.28,0.997,0.0337,0.5,0.094,6,Red
0.08800000000000001,0.55,0.04,0.022000000000000002,0.119,0.14,0.56,0.9962,0.0321,0.6,0.109,6,Red
0.07,0.69,0.08,0.018000000000000002,0.097,0.22,0.89,0.9959,0.0334,0.54,0.092,6,Red
0.073,1.07,0.09,0.017,0.178,0.1,0.89,0.9962,0.033,0.57,0.09,5,Red
0.08800000000000001,0.55,0.04,0.022000000000000002,0.119,0.14,0.56,0.9962,0.0321,0.6,0.109,6,Red
0.073,0.695,0,0.025,0.075,0.03,0.13,0.998,0.0349,0.52,0.092,5,Red
0.08,0.71,0,0.026000000000000002,0.08,0.11,0.34,0.9976,0.0344,0.53,0.095,5,Red
0.078,0.5,0.17,0.016,0.082,0.21,1.02,0.996,0.0339,0.48,0.095,5,Red
0.09,0.62,0.04,0.019,0.146,0.27,0.9,0.9984,0.0316,0.7,0.094,5,Red
0.08199999999999999,1.33,0,0.017,0.081,0.03,0.12,0.9964,0.0353,0.49,0.109,5,Red
0.081,1.33,0,0.018000000000000002,0.082,0.03,0.12,0.9964,0.0354,0.48,0.109,5,Red
0.08,0.59,0.16,0.018000000000000002,0.065,0.03,0.16,0.9962,0.0342,0.92,0.105,7,Red
0.061,0.38,0.15,0.018000000000000002,0.072,0.06,0.19,0.9955,0.0342,0.57,0.094,5,Red
0.08,0.745,0.56,0.02,0.118,0.3,1.34,0.9968,0.032400000000000005,0.66,0.094,5,Red
0.055999999999999994,0.5,0.09,0.023,0.049,0.17,0.99,0.9937,0.0363,0.63,0.13,5,Red
0.055999999999999994,0.5,0.09,0.023,0.049,0.17,0.99,0.9937,0.0363,0.63,0.13,5,Red
0.066,0.5,0.01,0.015,0.06,0.17,0.26,0.9952,0.034,0.58,0.098,6,Red
0.079,1.04,0.05,0.022000000000000002,0.084,0.13,0.29,0.9959,0.0322,0.55,0.099,6,Red
0.084,0.745,0.11,0.019,0.09,0.16,0.63,0.9965,0.0319,0.82,0.096,5,Red
0.083,0.715,0.15,0.018000000000000002,0.089,0.1,0.52,0.9968,0.0323,0.77,0.095,5,Red
0.07200000000000001,0.415,0.36,0.02,0.081,0.13,0.45,0.9972,0.0348,0.64,0.092,5,Red
0.078,0.56,0.19,0.021,0.081,0.15,1.05,0.9962,0.0333,0.54,0.095,5,Red
0.078,0.56,0.19,0.02,0.081,0.17,1.08,0.9962,0.0332,0.54,0.095,5,Red
0.084,0.745,0.11,0.019,0.09,0.16,0.63,0.9965,0.0319,0.82,0.096,5,Red
0.083,0.715,0.15,0.018000000000000002,0.089,0.1,0.52,0.9968,0.0323,0.77,0.095,5,Red
0.052000000000000005,0.34,0,0.018000000000000002,0.05,0.27,0.63,0.9916,0.0368,0.79,0.14,6,Red
0.063,0.39,0.08,0.017,0.066,0.03,0.2,0.9954,0.0334,0.58,0.094,5,Red
0.052000000000000005,0.34,0,0.018000000000000002,0.05,0.27,0.63,0.9916,0.0368,0.79,0.14,6,Red
0.081,0.67,0.55,0.018000000000000002,0.117,0.32,1.41,0.9968,0.0317,0.62,0.094,5,Red
0.057999999999999996,0.68,0.02,0.018000000000000002,0.087,0.21,0.94,0.9944,0.0354,0.52,0.1,5,Red
0.076,0.49,0.26,0.016,0.236,0.1,0.88,0.9968,0.0311,0.8,0.09300000000000001,5,Red
0.069,0.49,0.1,0.023,0.074,0.12,0.3,0.9959,0.0342,0.58,0.102,6,Red
0.08199999999999999,0.4,0.44,0.027999999999999997,0.089,0.11,0.43,0.9975,0.0353,0.61,0.105,6,Red
0.073,0.33,0.47,0.021,0.077,0.05,0.11,0.9958,0.0333,0.53,0.10300000000000001,6,Red
0.092,0.52,1,0.034,0.61,0.32,0.69,0.9996,0.0274,2,0.094,4,Red
0.075,0.6,0.03,0.018000000000000002,0.095,0.25,0.99,0.995,0.0335,0.54,0.10099999999999999,5,Red
0.075,0.6,0.03,0.018000000000000002,0.095,0.25,0.99,0.995,0.0335,0.54,0.10099999999999999,5,Red
0.071,0.43,0.42,0.055,0.07,0.29,1.29,0.9973,0.0342,0.72,0.105,5,Red
0.071,0.43,0.42,0.055,0.071,0.28,1.28,0.9973,0.0342,0.71,0.105,5,Red
0.071,0.43,0.42,0.055,0.07,0.29,1.29,0.9973,0.0342,0.72,0.105,5,Red
0.071,0.43,0.42,0.055,0.071,0.28,1.28,0.9973,0.0342,0.71,0.105,5,Red
0.071,0.68,0,0.022000000000000002,0.073,0.12,0.22,0.9969,0.0348,0.5,0.09300000000000001,5,Red
0.068,0.6,0.18,0.019,0.079,0.18,0.86,0.9968,0.0359,0.57,0.09300000000000001,6,Red
0.076,0.95,0.03,0.02,0.09,0.07,0.2,0.9959,0.032,0.56,0.096,5,Red
0.076,0.68,0.02,0.013000000000000001,0.072,0.09,0.2,0.9965,0.0317,1.08,0.092,4,Red
0.078,0.53,0.04,0.017,0.076,0.17,0.31,0.9964,0.0333,0.56,0.1,6,Red
0.07400000000000001,0.6,0.26,0.073,0.07,0.36,1.21,0.9982,0.0337,0.49,0.094,5,Red
0.073,0.59,0.26,0.07200000000000001,0.07,0.35,1.21,0.9981,0.0337,0.49,0.094,5,Red
0.078,0.63,0.48,0.017,0.1,0.14,0.96,0.9961,0.0319,0.62,0.095,5,Red
0.068,0.64,0.1,0.021,0.085,0.18,1.01,0.9956,0.0334,0.52,0.102,5,Red
0.073,0.55,0.03,0.016,0.072,0.17,0.42,0.9956,0.0337,0.48,0.09,4,Red
0.068,0.63,0.07,0.021,0.089,0.11,0.44,0.9953,0.0347,0.55,0.10400000000000001,6,Red
0.075,0.705,0.24,0.018000000000000002,0.36,0.15,0.63,0.9964,0.03,1.59,0.095,5,Red
0.079,0.885,0.03,0.018000000000000002,0.058,0.04,0.08,0.9972,0.0336,0.33,0.091,4,Red
0.08,0.42,0.17,0.02,0.073,0.06,0.18,0.9972,0.0329,0.61,0.092,6,Red
0.08,0.42,0.17,0.02,0.073,0.06,0.18,0.9972,0.0329,0.61,0.092,6,Red
0.07400000000000001,0.62,0.05,0.019,0.068,0.24,0.42,0.9961,0.0342,0.57,0.115,6,Red
0.073,0.38,0.21,0.02,0.08,0.07,0.35,0.9961,0.0333,0.47,0.095,5,Red
0.069,0.5,0.04,0.015,0.085,0.19,0.49,0.9958,0.0335,0.78,0.095,5,Red
0.073,0.38,0.21,0.02,0.08,0.07,0.35,0.9961,0.0333,0.47,0.095,5,Red
0.075,0.52,0.42,0.023,0.087,0.08,0.38,0.9972,0.0358,0.61,0.105,6,Red
0.07,0.805,0,0.025,0.068,0.07,0.2,0.9969,0.0348,0.56,0.096,5,Red
0.08800000000000001,0.61,0.14,0.024,0.067,0.1,0.42,0.9969,0.0319,0.59,0.095,5,Red
0.08800000000000001,0.61,0.14,0.024,0.067,0.1,0.42,0.9969,0.0319,0.59,0.095,5,Red
0.08900000000000001,0.61,0.49,0.02,0.27,0.23,1.1,0.9972,0.031200000000000002,1.02,0.09300000000000001,5,Red
0.07200000000000001,0.73,0.02,0.025,0.076,0.16,0.42,0.9972,0.0344,0.52,0.09300000000000001,5,Red
0.068,0.61,0.2,0.018000000000000002,0.077,0.11,0.65,0.9971,0.0354,0.58,0.09300000000000001,5,Red
0.067,0.62,0.21,0.019,0.079,0.08,0.62,0.997,0.0352,0.58,0.09300000000000001,6,Red
0.08900000000000001,0.31,0.57,0.02,0.111,0.26,0.85,0.9971,0.0326,0.53,0.09699999999999999,5,Red
0.07400000000000001,0.39,0.48,0.02,0.082,0.14,0.67,0.9972,0.0334,0.55,0.092,5,Red
0.077,0.705,0.1,0.026000000000000002,0.084,0.09,0.26,0.9976,0.0339,0.49,0.09699999999999999,5,Red
0.079,0.5,0.33,0.02,0.084,0.15,1.43,0.9968,0.032,0.55,0.095,5,Red
0.079,0.49,0.32,0.019,0.082,0.17,1.44,0.9968,0.032,0.55,0.095,5,Red
0.08199999999999999,0.5,0.35,0.028999999999999998,0.077,0.21,1.27,0.9976,0.0323,0.62,0.094,5,Red
0.064,0.37,0.25,0.019,0.074,0.21,0.49,0.9974,0.035699999999999996,0.62,0.098,6,Red
0.068,0.63,0.12,0.038,0.099,0.16,1.26,0.9969,0.032799999999999996,0.61,0.095,5,Red
0.076,0.55,0.21,0.022000000000000002,0.071,0.07,0.28,0.9964,0.032799999999999996,0.55,0.09699999999999999,5,Red
0.076,0.55,0.21,0.022000000000000002,0.071,0.07,0.28,0.9964,0.032799999999999996,0.55,0.09699999999999999,5,Red
0.078,0.59,0.33,0.02,0.074,0.24,1.2,0.9968,0.0325,0.54,0.094,5,Red
0.073,0.58,0.3,0.024,0.074,0.15,0.55,0.9968,0.0346,0.59,0.102,5,Red
0.115,0.3,0.6,0.02,0.067,0.12,0.27,0.9981,0.0311,0.97,0.10099999999999999,6,Red
0.054000000000000006,0.835,0.08,0.012,0.046,0.13,0.93,0.9924,0.035699999999999996,0.85,0.13,7,Red
0.069,1.09,0.06,0.021,0.061,0.12,0.31,0.9948,0.0351,0.43,0.114,4,Red
0.096,0.32,0.47,0.013999999999999999,0.056,0.09,0.24,0.99695,0.0322,0.82,0.10300000000000001,7,Red
0.08800000000000001,0.37,0.48,0.021,0.097,0.39,1.45,0.9975,0.0304,1.03,0.09300000000000001,5,Red
0.068,0.5,0.11,0.015,0.075,0.16,0.49,0.99545,0.0336,0.79,0.095,5,Red
0.07,0.42,0.35,0.016,0.088,0.16,0.39,0.9961,0.0334,0.55,0.092,5,Red
0.07,0.43,0.36,0.016,0.089,0.14,0.37,0.99615,0.0334,0.56,0.092,6,Red
0.128,0.3,0.74,0.026000000000000002,0.095,0.09,0.28,0.9994,0.032,0.77,0.10800000000000001,7,Red
0.128,0.3,0.74,0.026000000000000002,0.095,0.09,0.28,0.9994,0.032,0.77,0.10800000000000001,7,Red
0.078,0.57,0.31,0.018000000000000002,0.069,0.26,1.2,0.99625,0.0329,0.53,0.09300000000000001,5,Red
0.078,0.44,0.28,0.027000000000000003,0.1,0.18,0.95,0.9966,0.0322,0.67,0.094,5,Red
0.11,0.3,0.58,0.021,0.054,0.07,0.19,0.998,0.0331,0.88,0.105,7,Red
0.09699999999999999,0.53,0.6,0.02,0.039,0.05,0.19,0.99585,0.033,0.86,0.124,6,Red
0.08,0.725,0.24,0.027999999999999997,0.083,0.1,0.62,0.99685,0.0335,0.56,0.1,6,Red
0.11599999999999999,0.44,0.64,0.021,0.059,0.05,0.15,0.998,0.0321,0.67,0.102,6,Red
0.08199999999999999,0.57,0.26,0.022000000000000002,0.06,0.28,0.65,0.9959,0.033,0.43,0.10099999999999999,5,Red
0.078,0.735,0.08,0.024,0.092,0.1,0.41,0.9974,0.032400000000000005,0.71,0.098,6,Red
0.07,0.49,0.49,0.055999999999999994,0.06,0.26,1.21,0.9974,0.0334,0.76,0.105,5,Red
0.087,0.625,0.16,0.02,0.101,0.13,0.49,0.9962,0.031400000000000004,0.57,0.11,5,Red
0.081,0.725,0.22,0.022000000000000002,0.072,0.11,0.41,0.9967,0.0336,0.55,0.091,5,Red
0.075,0.49,0.19,0.019,0.076,0.1,0.44,0.9957,0.0339,0.54,0.09699999999999999,5,Red
0.078,0.53,0.33,0.024,0.08,0.24,1.44,0.99655,0.033,0.6,0.095,5,Red
0.078,0.34,0.37,0.02,0.082,0.24,0.58,0.9964,0.0334,0.59,0.094,6,Red
0.07400000000000001,0.53,0.26,0.02,0.101,0.16,0.72,0.9957,0.0315,0.57,0.094,5,Red
0.068,0.61,0.04,0.015,0.057,0.05,0.1,0.99525,0.0342,0.6,0.095,5,Red
0.086,0.645,0.25,0.02,0.083,0.08,0.28,0.99815,0.032799999999999996,0.6,0.1,6,Red
0.084,0.635,0.36,0.02,0.089,0.15,0.55,0.99745,0.0331,0.57,0.10400000000000001,4,Red
0.077,0.43,0.25,0.026000000000000002,0.073,0.29,0.63,0.99615,0.0337,0.58,0.105,6,Red
0.08900000000000001,0.59,0.5,0.02,0.337,0.27,0.81,0.9964,0.0304,1.61,0.095,6,Red
0.09,0.82,0.14,0.026000000000000002,0.089,0.09,0.23,0.9984,0.0339,0.63,0.098,5,Red
0.077,0.43,0.25,0.026000000000000002,0.073,0.29,0.63,0.99615,0.0337,0.58,0.105,6,Red
0.069,0.52,0.25,0.026000000000000002,0.081,0.1,0.37,0.99685,0.0346,0.5,0.11,5,Red
0.052000000000000005,0.48,0.04,0.016,0.054,0.19,1.06,0.9927,0.0354,0.62,0.122,7,Red
0.08,0.38,0.06,0.018000000000000002,0.078,0.12,0.49,0.99625,0.0337,0.52,0.099,6,Red
0.085,0.37,0.2,0.027999999999999997,0.09,0.18,0.58,0.998,0.0334,0.7,0.096,6,Red
0.069,0.52,0.25,0.026000000000000002,0.081,0.1,0.37,0.99685,0.0346,0.5,0.11,5,Red
0.08199999999999999,1,0.09,0.023,0.065,0.07,0.37,0.99685,0.0332,0.55,0.09,6,Red
0.07200000000000001,0.63,0,0.019,0.097,0.14,0.38,0.99675,0.0337,0.58,0.09,6,Red
0.07200000000000001,0.63,0,0.019,0.097,0.14,0.38,0.99675,0.0337,0.58,0.09,6,Red
0.07200000000000001,0.645,0,0.019,0.097,0.15,0.39,0.99675,0.0337,0.58,0.092,6,Red
0.07200000000000001,0.63,0,0.019,0.097,0.14,0.38,0.99675,0.0337,0.58,0.09,6,Red
0.08199999999999999,1,0.09,0.023,0.065,0.07,0.37,0.99685,0.0332,0.55,0.09,6,Red
0.08900000000000001,0.635,0.37,0.017,0.263,0.05,0.62,0.9971,0.03,1.09,0.09300000000000001,5,Red
0.12,0.38,0.56,0.021,0.093,0.06,0.24,0.99925,0.031400000000000004,0.71,0.109,6,Red
0.077,0.58,0.1,0.018000000000000002,0.102,0.28,1.09,0.99565,0.0308,0.49,0.098,6,Red
0.15,0.21,0.44,0.022000000000000002,0.075,0.1,0.24,1.00005,0.030699999999999998,0.84,0.092,7,Red
0.15,0.21,0.44,0.022000000000000002,0.075,0.1,0.24,1.00005,0.030699999999999998,0.84,0.092,7,Red
0.073,0.66,0,0.02,0.084,0.06,0.23,0.9983,0.0361,0.96,0.099,6,Red
0.071,0.68,0.07,0.019,0.075,0.16,0.51,0.99685,0.0338,0.52,0.095,5,Red
0.08199999999999999,0.6,0.17,0.023,0.072,0.11,0.73,0.9963,0.032,0.45,0.09300000000000001,5,Red
0.077,0.53,0.06,0.017,0.074,0.09,0.39,0.99615,0.0335,0.48,0.098,6,Red
0.073,0.66,0,0.02,0.084,0.06,0.23,0.9983,0.0361,0.96,0.099,6,Red
0.10800000000000001,0.32,0.44,0.016,0.063,0.16,0.37,0.9985,0.0322,0.78,0.1,6,Red
0.071,0.6,0,0.018000000000000002,0.074,0.16,0.34,0.9972,0.0347,0.7,0.099,6,Red
0.111,0.35,0.48,0.031,0.09,0.05,0.21,0.9986,0.0317,0.53,0.105,5,Red
