"","fk_decision_rule_id","fk_factor_id","week"
"185",9,3,36
"186",6,5,47
"187",2,2,50
"188",5,4,37
"189",10,5,28
"190",10,5,48
"191",4,3,9
"192",6,3,5
"193",9,3,35
"194",10,5,23
"195",10,4,43
"196",10,4,1
"197",4,3,44
"198",9,4,32
"199",1,1,39
"200",3,5,44
"201",7,5,38
"202",5,2,49
"203",9,2,37
"204",5,4,38
"205",7,1,38
"206",4,6,12
"207",6,2,47
"208",4,4,10
"209",3,6,48
"210",7,6,49
"211",3,6,26
"212",2,5,14
"213",6,4,10
"214",7,3,2
"215",2,4,18
"216",4,6,37
"217",2,4,45
"218",7,5,46
"219",9,2,24
"220",2,6,11
"221",7,4,29
"222",9,3,19
"223",2,2,30
"224",6,6,46
"225",6,3,34
"226",6,2,2
"227",3,6,32
"228",4,5,34
"229",10,5,50
"230",2,2,48
"231",7,2,33
"232",6,6,14
"233",9,3,37
"234",6,3,2
"235",2,4,6
"236",5,3,45
"237",9,4,1
"238",10,5,44
"239",2,4,32
"240",4,3,46
"241",8,5,1
"242",2,5,23
"243",4,2,3
"244",8,3,40
"245",2,6,44
"246",6,4,11
"247",6,4,20
"248",10,6,23
"249",1,2,9
"250",10,5,17
"251",8,4,38
"252",10,3,34
"253",10,2,12
"254",3,3,35
"255",4,1,16
"256",2,5,38
"257",2,4,1
"258",4,4,10
"259",7,5,8
"260",7,6,26
"261",9,5,32
"262",3,6,36
"263",8,4,43
"264",7,4,44
"265",7,6,50
"266",4,1,24
"267",7,3,5
"268",1,5,39
"269",10,4,20
"270",5,6,44
"271",7,6,13
"272",7,2,47
"273",4,5,5
"274",8,2,24
"275",4,6,20
"276",2,3,7
"277",8,6,46
"278",9,3,4
"279",5,5,49
"280",10,2,37
"281",3,4,9
"282",4,2,15
"283",10,4,37
"284",7,3,46
"285",8,4,45
"286",9,3,36
"287",7,2,11
"288",3,5,4
"289",2,5,20
"290",9,5,3
"291",8,3,2
"292",2,5,35
"293",2,3,18
"294",8,4,45
"295",2,3,4
"296",8,3,23
"297",5,4,7
"298",4,4,33
"299",3,4,14
"300",6,3,4
"301",7,4,11
"302",3,2,48
"303",6,3,34
"304",10,2,13
"305",8,4,2
"306",6,3,13
"307",8,3,3
"308",10,2,29
"309",5,3,27
"310",8,3,9
"311",3,4,20
"312",8,3,43
"313",8,2,10
"314",9,1,35
"315",7,6,15
"316",10,5,43
"317",8,6,2
"318",4,3,8
"319",8,3,9
"320",3,3,23
"321",9,4,20
"322",3,3,5
"323",3,4,49
"324",7,3,13
"325",5,2,12
"326",4,3,4
"327",7,5,42
"328",2,1,41
"329",9,4,35
"330",5,1,40
"331",10,2,34
"332",6,4,11
"333",8,2,49
"334",6,2,17
"335",10,2,41
"336",9,5,7
"337",2,5,50
"338",1,3,3
"339",6,3,52
"340",8,3,22
"341",3,5,45
"342",9,3,3
"343",1,4,35
"344",8,2,33
"345",1,3,39
"346",5,1,8
"347",7,4,34
"348",4,1,45
"349",4,2,2
"350",4,5,8
"351",7,3,32
"352",9,5,31
"353",8,6,20
"354",9,4,43
"355",5,5,2
"356",4,2,20
"357",3,2,10
"358",8,4,20
"359",10,5,37
"360",2,4,11
"361",10,4,4
"362",2,4,20
"363",5,4,17
"364",1,1,19
"365",8,2,29
"366",5,3,48
"367",3,4,20
"368",9,4,42
"369",3,2,21
"370",4,5,19
"371",6,5,31
"372",7,6,26
"373",6,4,45
"374",6,2,22
"375",10,1,28
"376",6,5,29
"377",10,3,30
"378",5,4,50
"379",8,4,20
"380",8,2,43
"381",4,5,51
"382",2,2,8
"383",6,4,7
"384",2,6,20
"385",3,4,22
"386",5,4,17
"387",4,3,9
"388",3,2,16
"389",3,5,32
"390",7,2,5
"391",8,1,46
"392",8,5,5
"393",7,3,43
"394",6,2,30
"395",9,6,12
"396",9,1,41
"397",6,2,29
"398",2,4,24
"399",3,2,5
"400",9,5,28
"401",4,4,45
"402",6,4,32
"403",9,5,51
"404",2,5,19
"405",10,3,35
"406",6,1,7
"407",10,6,39
"408",7,4,19
"409",1,6,41
"410",9,4,19
"411",2,3,20
"412",4,4,48
"413",7,2,14
"414",4,6,36
"415",9,5,41
"416",5,5,4
"417",10,5,24
"418",7,6,20
"419",5,4,49
"420",5,3,34
"421",5,4,15
"422",8,3,31
"423",3,5,43
"424",2,3,12
"425",9,5,8
"426",6,1,50
"427",2,4,22
"428",1,4,9
"429",2,5,18
"430",5,5,12
"431",3,5,52
"432",3,5,7
"433",9,3,10
"434",4,2,45
"435",7,4,43
"436",7,5,14
"437",5,6,44
"438",5,2,30
"439",1,1,20
"440",6,2,36
"441",2,1,4
"442",5,1,9
"443",4,5,10
"444",2,4,9
"445",8,4,5
"446",6,1,13
"447",4,2,29
"448",2,2,23
"449",9,4,15
"450",5,2,40
"451",8,2,26
"452",5,2,32
"453",6,4,23
"454",2,4,14
"455",5,2,2
"456",8,5,15
"457",2,3,36
"458",4,3,52
"459",9,3,37
"460",8,3,18
"461",2,2,24
"462",6,4,44
"463",5,5,15
"464",7,5,35
"465",9,3,3
"466",8,5,44
"467",9,4,30
"468",9,3,1
"469",9,2,32
"470",2,2,17
"471",4,6,48
"472",7,4,25
"473",1,2,47
"474",5,2,35
"475",1,2,44
"476",7,1,3
"477",10,6,2
"478",9,2,7
"479",10,4,28
"480",9,4,37
"481",8,2,5
"482",9,4,35
"483",2,5,7
"484",8,4,40
"485",1,4,19
"486",8,3,50
"487",9,3,15
"488",3,3,4
"489",10,3,23
"490",3,2,51
"491",7,5,24
"492",7,5,11
"493",9,6,29
"494",5,5,49
"495",5,4,42
"496",7,4,41
"497",6,1,51
"498",10,5,25
"499",2,2,15
"500",9,3,48
"501",1,2,8
"502",5,5,35
"503",4,6,47
"504",5,1,35
"505",4,3,29
"506",2,2,47
"507",6,2,33
"508",9,5,27
"509",2,3,20
"510",7,2,36
"511",7,5,46
"512",9,3,10
"513",10,3,25
"514",7,3,41
"515",4,4,32
"516",3,1,30
"517",7,2,5
"518",5,4,46
"519",6,5,12
"520",2,2,27
"521",4,3,10
"522",5,2,5
"523",9,2,41
"524",4,4,41
"525",2,1,24
"526",8,3,41
"527",8,3,6
"528",6,1,20
"529",6,3,27
"530",1,2,24
"531",6,1,3
"532",2,3,51
"533",1,2,45
"534",7,5,26
"535",10,5,13
"536",9,2,13
"537",2,4,41
"538",1,5,49
"539",7,6,35
"540",7,5,50
"541",9,2,32
"542",3,4,38
"543",2,3,18
"544",6,1,39
"545",8,2,43
"546",10,5,14
"547",9,2,7
"548",4,6,47
"549",7,4,38
"550",4,1,23
"551",7,4,3
"552",8,2,27
"553",8,5,39
"554",3,2,14
"555",9,3,6
"556",2,3,22
"557",9,4,47
"558",2,1,6
"559",3,6,1
"560",5,5,22
"561",3,1,49
"562",3,2,36
"563",1,2,45
"564",6,2,45
"565",3,1,36
"566",8,1,5
"567",9,3,36
"568",7,4,45
"569",2,4,49
"570",2,3,48
"571",10,4,43
"572",5,5,33
"573",5,2,8
"574",5,4,41
"575",8,2,8
"576",9,2,21
"577",4,3,6
"578",8,4,50
"579",1,2,43
"580",10,3,32
"581",3,5,28
"582",3,4,29
"583",2,5,28
"584",4,1,35
"585",8,2,14
"586",3,4,50
"587",9,3,35
"588",3,2,37
"589",5,2,34
"590",6,3,32
"591",2,4,12
"592",8,6,35
"593",10,5,20
"594",4,4,33
"595",7,6,24
"596",4,2,32
"597",3,1,48
"598",4,4,5
"599",9,5,52
"600",10,5,5
"601",2,6,46
"602",1,5,45
"603",9,5,38
"604",3,2,36
"605",8,6,18
"606",1,3,29
"607",5,3,13
"608",3,1,50
"609",4,2,26
"610",5,2,50
"611",1,3,14
"612",8,4,40
"613",5,1,6
"614",3,1,34
"615",5,1,36
"616",1,6,28
"617",9,5,41
"618",3,3,46
"619",10,1,41
"620",3,2,44
"621",9,3,16
"622",7,2,9
"623",4,2,43
"624",3,3,51
"625",7,3,24
"626",10,4,18
"627",3,5,21
"628",3,2,29
"629",9,3,34
"630",4,1,1
"631",9,3,38
"632",5,6,47
"633",3,5,33
"634",7,3,2
"635",6,3,9
"636",2,3,38
"637",4,1,26
"638",5,4,41
"639",6,5,46
"640",4,5,33
"641",1,2,27
"642",7,6,24
"643",9,3,6
"644",3,2,36
"645",9,4,12
"646",3,3,49
"647",4,2,11
"648",9,3,1
"649",5,6,5
"650",3,4,33
"651",9,4,43
"652",1,3,36
"653",8,4,21
"654",7,3,22
"655",4,2,33
"656",2,3,30
"657",8,5,28
"658",4,2,37
"659",8,5,42
"660",7,1,41
"661",5,2,6
"662",6,4,23
"663",4,2,43
"664",6,4,36
"665",10,2,36
"666",4,6,14
"667",4,4,43
"668",6,5,25
"669",2,2,31
"670",9,4,43
"671",4,5,7
"672",8,5,31
"673",9,3,8
"674",7,4,28
"675",3,1,26
"676",3,3,17
"677",4,4,5
"678",5,3,31
"679",3,2,8
"680",5,3,39
"681",9,4,39
"682",1,2,25
"683",3,2,43
"684",5,5,25
"685",7,6,51
"686",7,3,41
"687",5,5,39
"688",8,2,33
"689",10,4,32
"690",3,4,5
"691",8,3,35
"692",7,5,41
"693",5,2,37
"694",6,2,39
"695",6,6,4
"696",9,1,27
"697",2,4,30
"698",5,1,50
"699",3,5,51
"700",4,4,2
"701",7,5,4
"702",5,2,28
"703",9,3,18
"704",4,5,36
"705",3,5,50
"706",4,5,14
"707",3,1,47
"708",4,4,43
"709",3,3,43
"710",8,3,7
"711",3,3,10
"712",4,5,18
"713",8,2,3
"714",9,5,28
"715",1,3,50
"716",9,1,35
"717",4,5,44
"718",10,5,49
"719",8,4,46
"720",8,4,13
"721",5,1,32
"722",8,5,41
"723",6,6,33
"724",7,6,31
"725",2,3,16
"726",3,4,14
"727",10,5,40
"728",3,2,43
"729",10,5,26
"730",3,1,21
"731",1,3,36
"732",1,2,7
"733",8,6,30
"734",8,3,47
"735",2,2,16
"736",7,2,39
"737",2,5,36
"738",2,3,41
"739",2,3,3
"740",4,1,7
"741",7,5,42
"742",7,1,16
"743",8,2,38
"744",3,5,4
"745",8,6,40
"746",3,4,39
"747",1,2,30
"748",8,5,14
"749",6,3,49
"750",9,4,16
"751",4,5,24
"752",10,1,10
"753",3,6,38
"754",2,6,51
"755",3,1,10
"756",4,2,16
"757",5,4,28
"758",6,3,8
"759",9,2,31
"760",3,4,34
"761",5,3,12
"762",1,6,12
"763",5,2,11
"764",7,4,46
"765",8,6,17
"766",2,2,48
"767",7,6,46
"768",4,6,46
"769",9,5,36
"770",10,4,50
"771",2,3,48
"772",4,3,30
"773",3,5,16
"774",3,5,28
"775",8,4,44
"776",7,3,18
"777",4,1,44
"778",5,4,20
"779",7,1,48
"780",2,5,51
"781",9,4,11
"782",4,5,45
"783",3,5,4
"784",7,5,36
"785",2,2,45
"786",7,1,31
"787",1,5,38
"788",3,3,48
"789",2,4,36
"790",4,5,36
"791",7,3,15
"792",7,1,24
"793",8,6,3
"794",4,3,37
"795",2,4,12
"796",8,5,46
"797",6,1,14
"798",5,3,35
"799",9,3,14
"800",1,4,25
"801",4,1,26
"802",3,4,4
"803",8,3,23
"804",6,4,48
"805",6,4,8
"806",4,5,27
"807",8,4,38
"808",2,1,49
"809",9,5,8
"810",5,6,9
"811",7,2,17
"812",7,2,32
"813",5,6,37
"814",8,2,18
"815",6,5,38
"816",2,2,8
"817",10,3,34
"818",7,6,48
"819",8,4,29
"820",5,5,5
"821",5,2,13
"822",7,2,36
"823",9,3,10
"824",9,3,4
"825",4,6,35
"826",3,1,7
"827",9,3,40
"828",7,2,27
"829",9,6,15
"830",7,6,22
"831",5,1,11
"832",4,2,34
"833",8,2,28
"834",8,4,7
"835",1,1,28
"836",6,6,49
"837",3,1,35
"838",9,4,50
"839",6,5,22
"840",2,3,17
"841",2,5,10
"842",10,5,21
"843",4,2,29
"844",5,4,6
"845",5,3,9
"846",3,4,35
"847",1,6,10
"848",1,3,22
"849",8,3,52
"850",7,5,46
"851",3,2,32
"852",4,5,27
"853",5,2,21
"854",4,6,7
"855",8,5,9
"856",9,2,44
"857",10,2,13
"858",2,4,52
"859",2,3,47
"860",5,5,25
"861",9,4,22
"862",7,2,15
"863",8,4,14
"864",6,4,23
"865",9,3,3
"866",8,1,30
"867",3,2,25
"868",6,3,12
"869",9,2,31
"870",9,2,6
"871",10,5,21
"872",5,2,52
"873",1,5,11
"874",5,3,4
"875",8,5,24
"876",2,5,30
"877",8,2,27
"878",8,1,40
"879",5,3,49
"880",4,2,14
"881",4,6,48
"882",7,4,32
"883",8,1,39
"884",9,5,4
"885",2,2,44
"886",4,2,10
"887",6,5,8
"888",8,2,18
"889",9,4,11
"890",2,5,37
"891",2,3,42
"892",2,2,18
"893",10,4,37
"894",2,4,51
"895",10,6,45
"896",8,5,44
"897",6,5,45
"898",1,3,34
"899",1,2,39
"900",7,1,28
"901",2,5,15
"902",8,2,26
"903",7,5,45
"904",10,3,42
"905",2,6,40
"906",8,3,16
"907",3,6,19
"908",8,5,12
"909",1,5,26
"910",8,4,21
"911",3,4,31
"912",3,4,46
"913",10,6,41
"914",2,6,30
"915",3,6,45
"916",1,4,43
"917",1,6,9
"918",5,1,46
"919",8,3,49
"920",10,5,47
"921",8,3,37
"922",3,5,4
"923",6,5,44
"924",5,1,40
"925",5,3,34
"926",2,1,34
"927",5,3,50
"928",7,5,7
"929",3,1,38
"930",8,2,49
"931",6,3,38
"932",2,5,42
"933",9,2,8
"934",10,3,19
"935",9,2,14
"936",8,1,24
"937",3,2,35
"938",5,2,11
"939",8,4,36
"940",6,5,22
"941",5,4,43
"942",6,2,50
"943",2,2,42
"944",7,3,9
"945",5,4,30
"946",6,5,19
"947",7,4,15
"948",1,2,19
"949",4,4,36
"950",3,4,39
"951",9,1,17
"952",6,4,29
"953",3,6,32
"954",8,1,24
"955",3,2,37
"956",6,5,33
"957",4,3,43
"958",2,5,3
"959",3,4,24
"960",4,3,37
"961",9,4,3
"962",6,4,10
"963",4,2,47
"964",3,3,5
"965",2,4,26
"966",8,5,16
"967",3,5,18
"968",9,3,10
"969",3,5,46
"970",8,3,31
"971",2,5,43
"972",5,4,25
"973",4,2,40
"974",7,1,17
"975",4,6,48
"976",5,2,7
"977",3,2,21
"978",4,6,37
"979",8,2,49
"980",4,4,22
"981",5,2,24
"982",2,4,45
"983",6,4,21
"984",9,3,35
"985",8,3,13
"986",7,4,43
"987",7,4,6
"988",5,3,8
"989",4,4,8
"990",9,5,4
"991",5,5,30
"992",4,5,36
"993",7,5,20
"994",10,3,29
"995",2,3,10
"996",8,4,12
"997",7,3,12
"998",6,5,48
"999",5,3,43
"1000",6,2,20
"1001",3,6,4
"1002",7,3,30
"1003",4,5,13
"1004",8,5,36
"1005",7,2,21
"1006",7,6,12
"1007",2,3,20
"1008",4,3,31
"1009",4,1,41
"1010",4,5,27
"1011",3,1,47
"1012",2,2,23
"1013",2,3,23
"1014",1,3,8
"1015",9,2,42
"1016",8,3,31
"1017",10,2,51
"1018",2,1,10
"1019",3,5,19
"1020",6,1,35
"1021",5,1,24
"1022",4,4,39
"1023",1,4,29
"1024",6,6,30
"1025",1,2,21
"1026",2,4,41
"1027",4,4,12
"1028",9,5,5
"1029",6,4,24
"1030",1,5,37
"1031",5,2,4
"1032",1,5,1
"1033",1,3,23
"1034",4,3,12
"1035",4,4,51
"1036",4,4,3
"1037",7,6,34
"1038",5,2,24
"1039",4,5,31
"1040",3,4,49
"1041",3,5,21
"1042",3,3,30
"1043",5,5,14
"1044",5,3,36
"1045",9,5,29
"1046",9,5,12
"1047",3,5,14
"1048",5,3,16
"1049",2,5,16
"1050",8,4,42
"1051",7,6,4
"1052",4,6,38
"1053",9,1,39
"1054",7,4,46
"1055",7,2,34
"1056",8,5,45
"1057",2,4,4
"1058",10,2,32
"1059",9,5,2
"1060",4,2,40
"1061",2,2,40
"1062",8,5,52
"1063",4,6,45
"1064",7,4,35
"1065",9,5,52
"1066",1,2,49
"1067",3,4,28
"1068",7,2,27
"1069",8,2,1
"1070",6,5,33
"1071",2,2,34
"1072",1,4,36
"1073",6,3,32
"1074",4,2,40
"1075",2,5,12
"1076",5,2,4
"1077",2,6,29
"1078",7,6,28
"1079",7,3,39
"1080",6,4,22
"1081",3,3,29
"1082",8,4,10
"1083",4,2,11
"1084",8,2,17
"1085",1,4,31
"1086",5,2,48
"1087",7,4,19
"1088",5,5,24
"1089",6,3,29
"1090",2,6,21
"1091",5,2,36
"1092",2,6,21
"1093",7,5,26
"1094",2,3,39
"1095",7,5,14
"1096",4,6,36
"1097",6,2,20
"1098",8,4,5
"1099",7,3,5
"1100",4,2,42
"1101",3,4,50
"1102",7,4,35
"1103",3,2,6
"1104",4,2,38
"1105",8,5,32
"1106",9,4,45
"1107",1,4,8
"1108",3,4,35
"1109",4,4,11
"1110",7,3,49
"1111",6,6,44
"1112",3,5,44
"1113",1,1,33
"1114",2,3,38
"1115",4,4,42
"1116",7,3,46
"1117",6,1,20
"1118",7,3,44
"1119",10,5,9
"1120",7,5,23
"1121",7,6,50
"1122",4,4,19
"1123",2,6,51
"1124",3,5,33
"1125",3,3,49
"1126",10,3,11
"1127",7,4,25
"1128",3,3,18
"1129",10,3,12
"1130",2,4,9
"1131",3,1,9
"1132",7,4,4
"1133",4,4,2
"1134",2,6,4
"1135",7,6,24
"1136",2,2,5
"1137",3,5,42
"1138",9,4,36
"1139",4,5,46
"1140",5,2,22
"1141",5,2,7
"1142",2,6,24
"1143",3,5,31
"1144",7,2,40
"1145",9,2,52
"1146",2,2,38
"1147",7,6,39
"1148",5,1,9
"1149",4,3,42
"1150",6,4,30
"1151",5,6,2
"1152",3,2,16
"1153",6,2,47
"1154",6,4,49
"1155",5,5,19
"1156",10,6,16
"1157",8,4,39
"1158",8,3,16
"1159",7,4,13
"1160",2,2,15
"1161",3,4,39
"1162",4,6,21
"1163",9,5,31
"1164",9,3,35
"1165",6,2,49
"1166",7,4,26
"1167",7,5,38
"1168",7,1,12
"1169",3,1,13
"1170",9,6,21
"1171",7,3,21
"1172",5,3,29
"1173",7,2,22
"1174",1,2,46
"1175",5,2,4
"1176",6,4,46
"1177",2,3,33
"1178",2,1,38
"1179",9,4,42
"1180",2,6,20
"1181",3,6,19
"1182",7,1,2
"1183",6,3,34
"1184",8,5,15
"1185",1,2,50
"1186",8,2,35
"1187",2,5,13
"1188",4,3,11
"1189",5,6,28
"1190",3,4,22
"1191",4,3,48
"1192",3,2,30
"1193",4,1,42
"1194",2,6,13
"1195",6,2,23
"1196",1,6,7
"1197",6,3,35
"1198",10,2,49
"1199",3,4,39
"1200",3,5,13
"1201",4,5,24
"1202",6,5,19
"1203",4,2,39
"1204",9,1,29
"1205",6,1,33
"1206",8,4,8
"1207",8,1,30
"1208",3,2,8
"1209",7,6,11
"1210",6,3,18
"1211",9,1,43
"1212",10,4,39
"1213",5,5,5
"1214",7,5,23
"1215",6,2,12
"1216",4,4,38
"1217",8,2,29
"1218",8,1,40
"1219",3,4,50
"1220",8,2,16
"1221",6,5,2
"1222",1,3,40
"1223",3,6,38
"1224",9,5,37
"1225",7,6,40
"1226",7,4,23
"1227",8,1,39
"1228",4,3,48
"1229",8,3,38
"1230",4,2,43
"1231",9,5,37
"1232",9,3,24
"1233",4,5,33
"1234",8,3,36
"1235",6,4,20
"1236",1,5,11
"1237",8,2,42
"1238",10,5,16
"1239",6,2,51
"1240",6,3,38
"1241",10,4,9
"1242",9,1,39
"1243",6,4,20
"1244",5,2,6
"1245",6,3,42
"1246",8,5,14
"1247",3,4,10
"1248",6,3,3
"1249",3,2,35
"1250",10,3,8
"1251",8,2,28
"1252",7,5,43
"1253",9,3,23
"1254",2,4,2
"1255",5,1,30
"1256",4,2,49
"1257",4,3,44
"1258",7,1,45
"1259",9,6,48
"1260",8,4,27
"1261",4,4,21
"1262",5,5,6
"1263",1,3,15
"1264",6,6,31
"1265",1,2,10
"1266",8,4,28
"1267",4,2,27
"1268",3,5,52
"1269",8,5,9
"1270",7,3,34
"1271",5,2,19
"1272",1,5,14
"1273",10,3,2
"1274",3,1,6
"1275",2,5,44
"1276",2,3,5
"1277",2,1,49
"1278",5,2,13
"1279",8,6,42
"1280",9,4,21
"1281",5,5,12
"1282",5,5,24
"1283",8,4,8
"1284",8,3,27
"1285",4,2,32
"1286",6,2,46
"1287",6,5,21
"1288",2,6,2
"1289",8,4,18
"1290",10,5,30
"1291",8,5,39
"1292",10,4,10
"1293",3,4,38
"1294",4,3,5
"1295",2,2,6
"1296",6,3,41
"1297",3,5,18
"1298",9,6,45
"1299",3,2,38
"1300",5,5,42
"1301",6,5,27
"1302",1,1,7
"1303",3,1,9
"1304",3,5,32
"1305",4,3,5
"1306",2,1,8
"1307",3,6,21
"1308",8,5,7
"1309",3,1,32
"1310",4,1,1
"1311",9,2,48
"1312",6,2,44
"1313",4,3,5
"1314",7,2,9
"1315",7,2,44
"1316",9,3,14
"1317",9,4,29
"1318",2,6,43
"1319",5,3,46
"1320",6,2,5
"1321",2,6,29
"1322",3,5,14
"1323",8,3,36
"1324",9,4,23
"1325",10,4,41
"1326",2,4,38
"1327",1,1,50
"1328",8,3,5
"1329",4,3,16
"1330",8,6,51
"1331",3,1,44
"1332",2,5,41
"1333",9,2,22
"1334",5,6,17
"1335",3,4,44
"1336",7,5,45
"1337",3,5,27
"1338",4,3,48
"1339",6,2,40
"1340",3,4,23
"1341",6,3,23
"1342",4,4,51
"1343",6,4,49
"1344",2,3,18
"1345",7,5,3
"1346",8,3,5
"1347",9,5,19
"1348",7,1,36
"1349",2,6,29
"1350",6,4,33
"1351",6,4,37
"1352",3,3,36
"1353",3,6,35
"1354",7,3,50
"1355",9,5,34
"1356",9,2,31
"1357",7,2,2
"1358",1,6,34
"1359",6,4,14
"1360",4,2,49
"1361",7,4,51
"1362",6,2,35
"1363",2,4,42
"1364",5,2,26
"1365",4,4,50
"1366",3,4,7
"1367",5,3,29
"1368",5,4,5
"1369",5,6,25
"1370",5,3,44
"1371",10,3,20
"1372",2,5,14
"1373",5,5,40
"1374",8,4,48
"1375",5,6,45
"1376",7,3,49
"1377",3,1,26
"1378",8,4,21
"1379",3,5,33
"1380",9,6,39
"1381",9,6,32
"1382",2,2,2
"1383",3,3,26
"1384",3,3,28
"1385",4,3,18
"1386",5,5,23
"1387",7,5,1
"1388",5,2,23
"1389",6,3,47
"1390",3,5,40
"1391",9,5,36
"1392",2,5,15
"1393",6,4,27
"1394",9,5,13
"1395",7,6,24
"1396",4,3,28
"1397",5,3,7
"1398",10,3,26
"1399",5,1,41
"1400",6,1,51
"1401",4,4,18
"1402",7,2,40
"1403",9,5,18
"1404",10,4,34
"1405",10,4,5
"1406",4,5,44
"1407",6,2,37
"1408",2,5,27
"1409",7,3,23
"1410",5,5,25
"1411",1,5,51
"1412",9,1,17
"1413",5,3,15
"1414",3,5,41
"1415",8,2,42
"1416",4,4,4
"1417",8,3,10
"1418",8,4,25
"1419",10,4,35
"1420",8,5,10
"1421",9,3,46
"1422",6,6,16
"1423",6,4,42
"1424",1,3,29
"1425",8,5,48
"1426",2,5,46
"1427",5,5,8
"1428",3,5,15
"1429",2,5,7
"1430",6,3,44
"1431",10,4,47
"1432",3,2,14
"1433",6,6,47
"1434",1,5,19
"1435",10,5,50
"1436",9,3,50
"1437",7,2,9
"1438",1,4,2
"1439",1,4,21
"1440",8,2,36
"1441",1,2,51
"1442",1,4,51
"1443",3,4,12
"1444",6,2,27
"1445",3,3,8
"1446",1,4,21
"1447",6,3,1
"1448",4,5,10
"1449",4,6,6
"1450",9,1,39
"1451",2,5,15
"1452",6,1,46
"1453",4,1,52
"1454",1,3,51
"1455",2,4,52
"1456",2,4,2
"1457",8,2,12
"1458",3,5,46
"1459",6,2,28
"1460",4,2,40
"1461",10,3,16
"1462",10,5,11
"1463",10,4,5
"1464",3,4,11
"1465",9,5,50
"1466",1,2,37
"1467",2,6,46
"1468",4,1,7
"1469",2,4,33
"1470",3,3,42
"1471",8,2,45
"1472",4,5,34
"1473",4,5,9
"1474",5,2,16
"1475",6,2,22
"1476",1,2,22
"1477",3,5,18
"1478",1,2,24
"1479",4,2,39
"1480",8,2,52
"1481",8,5,3
"1482",5,2,15
"1483",5,3,36
"1484",8,4,27
"1485",4,4,26
"1486",2,5,51
"1487",9,4,6
"1488",2,6,2
"1489",1,2,47
"1490",4,4,50
"1491",6,2,37
"1492",6,4,33
"1493",3,5,42
"1494",5,1,27
"1495",4,2,30
